TaskID,Instructions,Memory_MB,Input_MB,Output_MB,IO_MB_Total,Inst_per_MB,Predicted_Cost
Task_10556,2587,442,160,74,234,5.839729119638826,49.483983805397266
Task_10557,2865,633,162,125,287,4.518927444794953,55.172586997172154
Task_10558,1398,263,196,192,388,5.295454545454546,31.305192517557
Task_10559,2523,496,127,68,195,5.076458752515091,48.376575047966874
Task_10560,2484,935,73,179,252,2.6538461538461537,50.13540815401666
Task_10561,1327,721,51,156,207,1.8379501385041552,30.969297581578974
Task_10562,2482,629,121,200,321,3.93968253968254,49.35714608260444
Task_10563,1132,728,61,48,109,1.5528120713305897,25.886613661036904
Task_10564,1747,262,44,32,76,6.642585551330798,33.537394947387604
Task_10565,2105,173,88,120,208,12.097701149425287,40.87674171745854
Task_10566,570,1019,151,181,332,0.5588235294117647,20.308102578618698
Task_10567,2039,261,126,20,146,7.782442748091603,39.01043435474206
Task_10568,1715,481,179,178,357,3.5580912863070537,36.87124819865644
Task_10569,2197,652,192,63,255,3.364471669218989,43.95663647443707
Task_10570,2384,216,163,105,268,10.986175115207374,46.04336157286437
Task_10571,2131,815,44,98,142,2.611519607843137,43.15684624606158
Task_10572,1988,171,117,116,233,11.55813953488372,39.12368197058998
Task_10573,1534,432,48,75,123,3.5427251732101617,32.305928296817434
Task_10574,1251,415,51,185,236,3.0072115384615383,28.977450743016988
Task_10575,1082,669,130,87,217,1.6149253731343283,26.410941145072268
Task_10576,606,909,93,153,246,0.6659340659340659,20.34181045515188
Task_10577,1379,493,10,169,179,2.791497975708502,30.598768327040272
Task_10578,1492,401,35,169,204,3.711442786069652,32.41206682552252
Task_10579,2077,468,51,186,237,4.428571428571429,42.22669291616683
Task_10580,643,897,96,189,285,0.7160356347438753,20.976381052205944
Task_10581,2008,120,180,197,377,16.59504132231405,39.92033466911583
Task_10582,2240,169,111,59,170,13.176470588235293,42.17818277074925
Task_10583,622,687,44,157,201,0.9040697674418605,19.297968065408607
Task_10584,789,351,101,127,228,2.241477272727273,21.14707178336383
Task_10585,1371,849,11,140,151,1.6129411764705883,31.25687555704151
Task_10586,1412,736,198,60,258,1.9158751696065128,31.73186328563254
Task_10587,1255,702,148,127,275,1.7852062588904694,29.837616728749683
Task_10588,1339,716,156,58,214,1.8675034867503486,30.32389653850326
Task_10589,2575,506,27,145,172,5.0788954635108485,49.656998210540614
Task_10590,1803,452,86,119,205,3.980132450331126,37.44182195655437
Task_10591,626,249,80,70,150,2.504,17.14717752097903
Task_10592,589,703,132,101,233,0.8366477272727273,18.979337414788606
Task_10593,1922,493,175,196,371,3.8906882591093117,40.275995780221585
Task_10594,2554,516,11,117,128,4.940038684719536,49.04223547413546
Task_10595,1819,953,99,167,266,1.9067085953878407,39.574002801394194
Task_10596,578,781,110,35,145,0.7391304347826086,17.7947560137185
Task_10597,2856,130,88,70,158,21.801526717557252,51.26564897588208
Task_10598,2912,267,19,10,29,10.865671641791044,51.53777040792175
Task_10599,862,909,135,33,168,0.9472527472527472,22.84711144653636
Task_10600,2210,377,178,142,320,5.8465608465608465,44.14791065259436
Task_10601,2518,755,96,111,207,3.3306878306878307,49.73387941286851
Task_10602,1553,748,62,95,157,2.0734312416555407,33.9420122609466
Task_10603,2782,885,18,48,66,3.139954853273138,52.02150610858598
Task_10604,1135,398,88,31,119,2.844611528822055,25.08464697440868
Task_10605,1296,689,43,92,135,1.8782608695652174,29.48809253873588
Task_10606,926,562,118,175,293,1.644760213143872,24.32847934755935
Task_10607,699,579,67,42,109,1.2051724137931035,18.7483945045114
Task_10608,1983,421,142,106,248,4.699052132701421,40.32316628315754
Task_10609,2031,787,116,46,162,2.5774111675126905,40.80064132380735
Task_10610,2335,882,96,114,210,2.6443941109852775,47.25029641428944
Task_10611,2758,70,80,189,269,38.84507042253521,50.642886472777896
Task_10612,2281,795,84,72,156,2.8655778894472363,45.11200127419986
Task_10613,1809,653,41,115,156,2.7660550458715596,37.60479867713809
Task_10614,1227,138,66,65,131,8.827338129496402,25.898487115428864
Task_10615,2927,975,10,136,146,2.9989754098360657,56.32291013451988
Task_10616,1183,475,186,49,235,2.485294117647059,27.06763569653255
Task_10617,2975,674,162,188,350,4.407407407407407,57.42163736175943
Task_10618,923,240,82,136,218,3.8298755186721993,22.966841721054156
Task_10619,2960,379,53,39,92,7.7894736842105265,53.616461993797174
Task_10620,1818,528,81,147,228,3.436672967863894,38.12839721991628
Task_10621,1290,595,106,182,288,2.164429530201342,30.196987964322314
Task_10622,1772,767,63,195,258,2.3072916666666665,38.38140164076041
Task_10623,1553,285,85,109,194,5.43006993006993,32.88073993042327
Task_10624,2402,416,159,15,174,5.7601918465227815,45.57280047102089
Task_10625,2902,169,111,121,232,17.070588235294117,53.612027856589414
Task_10626,1402,991,118,35,153,1.4133064516129032,31.396809190329176
Task_10627,2959,191,31,31,62,15.411458333333334,52.694248803870046
Task_10628,2422,194,149,38,187,12.42051282051282,45.38888821857571
Task_10629,508,725,116,174,290,0.699724517906336,18.238422195764247
Task_10630,617,442,147,145,292,1.3927765237020315,18.958367780780204
Task_10631,1136,472,179,74,253,2.40169133192389,26.699128855287018
Task_10632,1501,380,108,28,136,3.9396325459317585,31.008767481207887
Task_10633,2920,787,19,84,103,3.7055837563451774,55.03799321999772
Task_10634,584,866,72,54,126,0.6735870818915801,18.51155284405928
Task_10635,1682,672,19,132,151,2.49925705794948,35.60351263069065
Task_10636,2316,64,178,19,197,35.63076923076923,42.08157918683593
Task_10637,878,158,196,101,297,5.522012578616352,21.910944388053935
Task_10638,851,330,148,41,189,2.5709969788519635,21.03871842904476
Task_10639,2599,163,145,147,292,15.847560975609756,49.09430914545681
Task_10640,2621,750,87,37,124,3.490013315579228,49.80673491897074
Task_10641,843,645,160,31,191,1.304953560371517,21.9528256523528
Task_10642,1365,768,112,108,220,1.7750325097529258,31.49649352630352
Task_10643,1181,402,115,175,290,2.930521091811414,27.861078201632882
Task_10644,2762,921,49,184,233,2.995661605206074,54.45233071237936
Task_10645,2117,197,92,135,227,10.691919191919192,41.73786084088446
Task_10646,2999,880,59,173,232,3.4040862656072646,58.05251277994817
Task_10647,554,312,167,45,212,1.7699680511182108,16.366111950916867
Task_10648,1262,218,96,122,218,5.762557077625571,28.186143555846773
Task_10649,1481,717,109,181,290,2.062674094707521,33.611130681362575
Task_10650,2285,479,53,140,193,4.760416666666667,45.26288299510227
Task_10651,643,561,60,159,219,1.1441281138790036,19.52711440338679
Task_10652,2341,720,153,166,319,3.246879334257975,47.35241282841087
Task_10653,773,418,22,14,36,1.8448687350835322,18.150431730221943
Task_10654,2349,457,89,95,184,5.12882096069869,45.7335826480238
Task_10655,2133,629,59,122,181,3.3857142857142857,43.05675362428951
Task_10656,2933,421,133,168,301,6.950236966824645,55.68711629803033
Task_10657,1528,318,184,10,194,4.789968652037618,31.609965901417407
Task_10658,751,65,118,71,189,11.378787878787879,18.232418009223338
Task_10659,657,571,127,57,184,1.1486013986013985,18.750115782936955
Task_10660,589,157,74,117,191,3.7278481012658227,17.036393103278005
Task_10661,2134,157,149,54,203,13.50632911392405,40.8779597978368
Task_10662,1220,656,98,167,265,1.856925418569254,29.16729813822414
Task_10663,2317,816,14,130,144,2.835985312117503,46.181330873373774
Task_10664,2351,429,99,141,240,5.467441860465116,46.190111279151516
Task_10665,1618,471,188,117,305,3.4279661016949152,34.980066438406254
Task_10666,2485,214,185,41,226,11.55813953488372,46.65702169000045
Task_10667,2741,106,185,152,337,25.61682242990654,50.839836721098656
Task_10668,919,263,171,78,249,3.481060606060606,22.64412310971208
Task_10669,519,79,119,145,264,6.4875,15.474979781923118
Task_10670,1195,848,79,54,133,1.4075382803297998,28.015576469124493
Task_10671,782,115,153,52,205,6.741379310344827,19.195211501690977
Task_10672,742,376,30,103,133,1.9681697612732096,19.818621842601015
Task_10673,2976,247,135,107,242,12.0,55.39924704921193
Task_10674,2141,815,41,153,194,2.6237745098039214,43.911816348666385
Task_10675,1611,492,109,102,211,3.2677484787018254,34.49048094464373
Task_10676,2874,433,58,197,255,6.622119815668203,54.783016470228795
Task_10677,2945,964,161,169,330,3.051813471502591,57.74097971039779
Task_10678,2757,358,141,86,227,7.67966573816156,51.972222995828396
Task_10679,2729,209,197,29,226,12.995238095238095,50.50536043705531
Task_10680,1167,548,45,117,162,2.1256830601092895,27.15912840940119
Task_10681,1224,188,89,10,99,6.476190476190476,25.65306881495741
Task_10682,2615,591,33,72,105,4.41722972972973,49.483351416678765
Task_10683,2718,673,163,99,262,4.032640949554896,52.80584542651053
Task_10684,1190,585,88,38,126,2.030716723549488,26.743010157811554
Task_10685,1171,654,26,89,115,1.7877862595419847,27.232477791711105
Task_10686,2397,882,32,163,195,2.714609286523216,48.22367145037566
Task_10687,1233,561,169,139,308,2.193950177935943,29.214888114766143
Task_10688,1937,744,70,49,119,2.6,39.00391426812686
Task_10689,2300,404,145,196,341,5.679012345679013,45.83504175958751
Task_10690,558,953,49,112,161,0.5849056603773585,18.92707037650489
Task_10691,2531,349,35,10,45,7.231428571428571,45.94736818735662
Task_10692,1684,876,139,137,276,1.9201824401368301,37.19491237379928
Task_10693,2131,984,133,57,190,2.163451776649746,43.59786509153429
Task_10694,2155,890,172,77,249,2.4186307519640855,44.133217882426095
Task_10695,1090,371,143,42,185,2.9301075268817205,24.823792718072884
Task_10696,597,864,179,29,208,0.6901734104046243,19.08643631236146
Task_10697,507,1004,174,13,187,0.5044776119402985,17.915379905075905
Task_10698,572,185,50,37,87,3.075268817204301,15.271152262003882
Task_10699,1569,640,164,105,269,2.4477379095163805,34.55812692324865
Task_10700,1443,753,64,61,125,1.9137931034482758,31.427619394448172
Task_10701,1729,162,159,145,304,10.607361963190185,35.4242794406369
Task_10702,1597,570,103,88,191,2.7968476357267953,34.151116940364766
Task_10703,1673,389,61,105,166,4.28974358974359,34.896139229326664
Task_10704,969,392,152,74,226,2.4656488549618323,23.68131342327628
Task_10705,1204,93,177,28,205,12.808510638297872,25.283983246628825
Task_10706,595,811,173,164,337,0.7327586206896551,19.991791015565177
Task_10707,2701,365,32,164,196,7.379781420765028,51.38847703224013
Task_10708,848,347,58,199,257,2.4367816091954024,22.458394748307768
Task_10709,2027,905,136,188,324,2.2373068432671084,43.01113788361294
Task_10710,2235,524,135,191,326,4.257142857142857,45.12046478782014
Task_10711,1289,237,106,195,301,5.415966386554622,29.106574555816703
Task_10712,750,480,89,35,124,1.5592515592515592,19.330362136320996
Task_10713,605,874,197,99,296,0.6914285714285714,20.166146950976522
Task_10714,989,358,15,64,79,2.754874651810585,22.454266545079935
Task_10715,2184,381,10,13,23,5.717277486910994,40.419277893669175
Task_10716,2400,842,77,161,238,2.8469750889679717,48.42332200780023
Task_10717,1807,223,45,161,206,8.066964285714286,36.76084063942603
Task_10718,1898,963,109,176,285,1.9688796680497926,40.95407528010066
Task_10719,526,500,22,34,56,1.0499001996007984,15.15477441368179
Task_10720,2213,548,170,61,231,4.030965391621129,43.70124528911066
Task_10721,2727,935,197,13,210,2.9134615384615383,52.6247461498677
Task_10722,2304,693,14,119,133,3.319884726224784,45.58029982764098
Task_10723,969,919,55,142,197,1.0532608695652175,25.598160300162018
Task_10724,1371,246,188,181,369,5.550607287449393,30.718838878887922
Task_10725,516,412,122,90,212,1.2493946731234866,16.60511384307205
Task_10726,1530,747,179,109,288,2.0454545454545454,34.36638181522056
Task_10727,2141,871,24,158,182,2.455275229357798,43.891694354546495
Task_10728,927,864,175,35,210,1.0716763005780348,24.03493264799589
Task_10729,947,960,197,142,339,0.9854318418314256,25.991478818828565
Task_10730,1742,429,141,132,273,4.051162790697674,36.6858323863299
Task_10731,1252,134,80,73,153,9.274074074074074,26.188883390642772
Task_10732,769,995,41,150,191,0.7720883534136547,22.5437832714784
Task_10733,579,686,98,163,261,0.8427947598253275,18.999326406442197
Task_10734,1940,332,79,151,230,5.8258258258258255,39.46516505352123
Task_10735,2397,963,83,43,126,2.486514522821577,46.95295468387627
Task_10736,2581,644,86,130,216,4.001550387596899,50.43890742733493
Task_10737,1723,743,22,156,178,2.3158602150537635,36.775793410489065
Task_10738,821,736,72,127,199,1.1139755766621438,22.674339662459232
Task_10739,779,835,161,155,316,0.9318181818181818,22.864409694251293
Task_10740,608,902,162,54,216,0.6733111849390919,19.55568222598838
Task_10741,601,129,128,177,305,4.623076923076923,17.449993389905966
Task_10742,2988,245,48,71,119,12.146341463414634,54.50748771858167
Task_10743,1468,820,126,120,246,1.7880633373934227,33.438277166615784
Task_10744,2854,1006,38,62,100,2.83416087388282,54.33992818007231
Task_10745,2885,472,170,51,221,6.099365750528541,54.09746164661584
Task_10746,1709,299,135,137,272,5.696666666666666,35.73946924604568
Task_10747,2411,363,191,79,270,6.623626373626373,46.67050680817218
Task_10748,1524,952,52,103,155,1.5991605456453306,34.138575011867154
Task_10749,1950,190,157,150,307,10.209424083769633,39.34053868460644
Task_10750,2716,100,155,19,174,26.89108910891089,48.75321960101718
Task_10751,2788,359,32,138,170,7.7444444444444445,52.404482906293254
Task_10752,2860,92,69,176,245,30.752688172043012,52.293265244306504
Task_10753,1618,270,110,70,180,5.970479704797048,33.0527757564813
Task_10754,2264,590,43,122,165,3.8307952622673436,44.90131886169852
Task_10755,1437,996,155,78,233,1.4413239719157473,33.02090611367472
Task_10756,2667,557,19,24,43,4.779569892473118,48.901164978001326
Task_10757,1201,668,28,47,75,1.7952167414050821,26.196115472146207
Task_10758,1413,934,63,112,175,1.5112299465240642,32.61331108599982
Task_10759,1444,1006,196,178,374,1.4339622641509433,34.22876862525719
Task_10760,2659,617,185,92,277,4.302588996763754,51.664900516579614
Task_10761,2040,783,171,113,284,2.6020408163265305,42.54618341470539
Task_10762,2270,287,112,87,199,7.881944444444445,43.910653878924904
Task_10763,642,936,45,24,69,0.6851654215581644,18.51246532875386
Task_10764,1450,899,197,69,266,1.6111111111111112,32.949000802488804
Task_10765,984,799,22,126,148,1.23,24.749330501314578
Task_10766,641,297,25,10,35,2.151006711409396,15.687736184992024
Task_10767,1561,725,181,138,319,2.150137741046832,34.971050154284995
Task_10768,2823,569,38,70,108,4.9526315789473685,52.72907871579792
Task_10769,2406,425,96,168,264,5.647887323943662,47.246331613780406
Task_10770,852,641,112,179,291,1.3271028037383177,23.372424627696375
Task_10771,637,100,144,158,302,6.306930693069307,17.62516237759866
Task_10772,2579,589,98,134,232,4.371186440677966,50.28205787458395
Task_10773,1700,115,92,83,175,14.655172413793103,33.66960549594742
Task_10774,2169,262,160,65,225,8.247148288973383,42.12499178047137
Task_10775,2680,98,98,132,230,27.07070707070707,49.28056765602097
Task_10776,1593,654,21,44,65,2.43206106870229,32.35746683893701
Task_10777,1949,828,81,98,179,2.3510253317249696,40.67217546425508
Task_10778,2584,265,125,48,173,9.714285714285714,48.10912133749245
Task_10779,2925,766,71,40,111,3.8135593220338984,54.54427003085862
Task_10780,1429,1024,178,129,307,1.3941463414634145,33.67297120025996
Task_10781,1599,310,109,174,283,5.141479099678457,34.14095122271025
Task_10782,1884,667,114,114,228,2.820359281437126,39.46047349445714
Task_10783,2656,142,173,17,190,18.573426573426573,48.4984313624756
Task_10784,2576,927,22,76,98,2.7758620689655173,49.81039620454922
Task_10785,2369,929,29,156,185,2.5473118279569893,47.746394957608466
Task_10786,2297,492,200,109,309,4.659229208924949,45.80238831708755
Task_10787,739,749,178,199,377,0.9853333333333333,22.297932027303247
Task_10788,1712,845,46,128,174,2.023640661938534,37.038165928828796
Task_10789,2770,577,199,172,371,4.7923875432525955,53.936584678590485
Task_10790,1115,845,182,161,343,1.3179669030732861,28.367694624920293
Task_10791,2053,340,83,127,210,6.020527859237537,41.076779803332485
Task_10792,522,562,89,39,128,0.9271758436944938,16.272461179435343
Task_10793,1409,290,37,170,207,4.841924398625429,30.741831283841083
Task_10794,1076,1012,53,35,88,1.0621915103652517,25.791460205320934
Task_10795,2629,1022,192,84,276,2.5698924731182795,52.25261159324548
Task_10796,2485,528,18,70,88,4.697542533081285,46.93343655983026
Task_10797,2981,504,123,172,295,5.902970297029703,56.69910029000189
Task_10798,2924,150,23,183,206,19.364238410596027,53.883465573719
Task_10799,2541,959,62,79,141,2.646875,49.97444331346849
Task_10800,2668,680,191,153,344,3.9177679882525696,52.499579174454766
Task_10801,1099,977,164,139,303,1.1237218813905931,28.20398344691497
Task_10802,937,1008,15,154,169,0.9286422200198216,24.9984538974599
Task_10803,1294,857,158,96,254,1.508158508158508,30.778105261254066
Task_10804,1944,243,193,187,380,7.967213114754099,39.819305836942654
Task_10805,911,678,88,189,277,1.3416789396170838,24.378444309986964
Task_10806,813,235,139,96,235,3.444915254237288,21.161785158185303
Task_10807,1800,180,110,81,191,9.94475138121547,35.69832609183315
Task_10808,640,327,21,37,58,1.951219512195122,16.30935156290582
Task_10809,607,522,189,81,270,1.1606118546845123,18.579364912649705
Task_10810,714,119,79,90,169,5.95,18.26442255129693
Task_10811,2676,310,13,77,90,8.604501607717042,49.406718567917615
Task_10812,569,144,141,82,223,3.924137931034483,16.398998468066488
Task_10813,2271,427,42,66,108,5.30607476635514,43.47850526926345
Task_10814,2389,525,50,131,181,4.5418250950570345,46.82759264987285
Task_10815,2431,865,119,25,144,2.80715935334873,47.25819881402109
Task_10816,2937,972,91,188,279,3.0184994861253855,57.48645725537677
Task_10817,1224,799,150,69,219,1.53,28.82386158971724
Task_10818,619,107,193,16,209,5.731481481481482,16.120053306206255
Task_10819,2814,628,95,26,121,4.473767885532592,52.4827506960946
Task_10820,1061,938,36,146,182,1.1299254526091587,26.76430328679948
Task_10821,1771,372,192,87,279,4.7479892761394105,36.66645042097951
Task_10822,2965,470,147,57,204,6.295116772823779,55.255968046958664
Task_10823,2358,225,111,84,195,10.43362831858407,45.01182994895345
Task_10824,2954,250,59,123,182,11.768924302788845,54.78848342743857
Task_10825,986,72,35,53,88,13.506849315068493,20.822775167620794
Task_10826,511,793,94,21,115,0.6435768261964736,16.69047632445359
Task_10827,2428,420,40,11,51,5.767220902612826,44.622109863323544
Task_10828,2605,792,141,102,243,3.2849936948297604,51.32466125705918
Task_10829,1002,247,14,117,131,4.040322580645161,23.53203807359904
Task_10830,1610,101,197,67,264,15.784313725490197,32.194267632372096
Task_10831,1753,922,63,118,181,1.8992416034669555,37.920874811344646
Task_10832,2609,195,85,94,179,13.311224489795919,48.7959933375062
Task_10833,1405,754,132,40,172,1.8609271523178808,31.02225746970576
Task_10834,1836,703,71,67,138,2.6079545454545454,37.77295531110991
Task_10835,1794,543,101,142,243,3.297794117647059,37.75260439954484
Task_10836,1941,894,173,74,247,2.1687150837988827,40.74311917279221
Task_10837,2182,568,137,48,185,3.834797891036907,42.753673854595455
Task_10838,2117,809,171,63,234,2.61358024691358,43.08763179244301
Task_10839,1445,968,186,172,358,1.4912280701754386,34.07156866716152
Task_10840,1503,462,70,173,243,3.24622030237581,33.07411238194328
Task_10841,1360,224,61,48,109,6.044444444444444,27.900970773009757
Task_10842,777,97,82,83,165,7.928571428571429,18.743980825799618
Task_10843,839,521,119,176,295,1.60727969348659,22.833395532967657
Task_10844,1272,633,103,124,227,2.006309148264984,29.670860887839407
Task_10845,2773,271,97,50,147,10.194852941176471,50.888726599643945
Task_10846,1450,426,105,93,198,3.395784543325527,31.594459053601227
Task_10847,2849,243,65,93,158,11.676229508196721,52.74626015028752
Task_10848,1666,210,126,102,228,7.895734597156398,34.49941572272558
Task_10849,580,831,12,108,120,0.6971153846153846,18.543439487849422
Task_10850,2597,219,94,79,173,11.804545454545455,48.65688889654558
Task_10851,2001,1009,104,56,160,1.9811881188118812,41.27948265963346
Task_10852,2958,529,42,130,172,5.581132075471698,55.7423300558952
Task_10853,986,969,102,73,175,1.0164948453608247,25.307194396887226
Task_10854,597,1013,122,21,143,0.5887573964497042,18.96361801304158
Task_10855,1893,74,95,38,133,25.24,35.17929117488838
Task_10856,2855,517,164,54,218,5.511583011583012,53.77061099625191
Task_10857,2788,119,63,62,125,23.233333333333334,50.06742927323279
Task_10858,2142,291,111,64,175,7.335616438356165,41.47281832609965
Task_10859,856,1008,180,177,357,0.848364717542121,24.831224612205073
Task_10860,1054,108,141,35,176,9.669724770642201,22.7224042996731
Task_10861,2175,394,169,122,291,5.506329113924051,43.49032988531911
Task_10862,2883,919,23,178,201,3.133695652173913,56.14576087275679
Task_10863,1944,795,68,143,211,2.442211055276382,40.89995733828974
Task_10864,932,979,69,96,165,0.9510204081632653,25.008417688103496
Task_10865,953,462,27,101,128,2.058315334773218,23.551566410321954
Task_10866,582,806,59,37,96,0.7211895910780669,17.75790252730847
Task_10867,1980,368,35,193,228,5.365853658536586,40.16891359959315
Task_10868,2146,441,181,80,261,4.855203619909502,42.70309678418918
Task_10869,1081,367,149,172,321,2.9375,26.302372293155468
Task_10870,2221,399,185,116,301,5.5525,44.27094291386942
Task_10871,748,379,55,157,212,1.9684210526315788,20.71765051272422
Task_10872,1807,264,28,98,126,6.818867924528302,36.32831752758933
Task_10873,2187,993,96,69,165,2.200201207243461,44.46078901780794
Task_10874,802,465,172,27,199,1.7210300429184548,20.703777043225873
Task_10875,2574,560,124,194,318,4.588235294117647,50.571788459347374
Task_10876,519,558,100,48,148,0.9284436493738819,16.16386312907365
Task_10877,2487,857,185,197,382,2.8986013986013988,50.424583501235155
Task_10878,1301,475,187,81,268,2.7331932773109244,29.432130988549048
Task_10879,1359,338,88,11,99,4.008849557522124,28.10224631624448
Task_10880,933,621,23,157,180,1.5,23.980643541306634
Task_10881,2248,886,132,161,293,2.5343855693348365,46.27440162707925
Task_10882,1510,587,30,153,183,2.568027210884354,33.0023429895139
Task_10883,1340,870,200,189,389,1.5384615384615385,32.268480771392284
Task_10884,2622,179,36,50,86,14.566666666666666,47.447734956741265
Task_10885,2726,923,111,153,264,2.95021645021645,53.8216186288995
Task_10886,2228,509,49,51,100,4.368627450980392,42.8399772975964
Task_10887,2096,581,14,188,202,3.6013745704467355,42.58030553281488
Task_10888,887,963,72,43,115,0.9201244813278008,23.04256746597854
Task_10889,2202,682,177,43,220,3.224011713030747,43.70826316580704
Task_10890,2531,806,181,123,304,3.1363073110285007,50.501928112359394
Task_10891,2621,384,90,43,133,6.8077922077922075,48.79561514900757
Task_10892,867,538,100,119,219,1.608534322820037,22.903722489429295
Task_10893,2088,118,74,185,259,17.54621848739496,40.733975920190346
Task_10894,2093,665,11,106,117,3.1426426426426426,41.96252170086323
Task_10895,2972,517,92,38,130,5.737451737451737,54.89375486098373
Task_10896,2002,585,36,162,198,3.416382252559727,41.01477165841136
Task_10897,2188,605,159,91,250,3.6105610561056105,43.99895295989043
Task_10898,1280,807,80,180,260,1.5841584158415842,30.65852767639106
Task_10899,775,361,157,40,197,2.1408839779005526,20.005232369097218
Task_10900,1741,848,130,182,312,2.050647820965842,38.23914397259873
Task_10901,595,1005,63,92,155,0.5914512922465208,19.584626628523985
Task_10902,989,190,170,174,344,5.178010471204188,24.37757492737884
Task_10903,1153,548,140,150,290,2.1001821493624773,27.8423597156837
Task_10904,1071,417,72,92,164,2.562200956937799,25.42056230906587
Task_10905,2325,127,167,88,255,18.1640625,44.048765676460356
Task_10906,2948,393,175,52,227,7.482233502538071,54.91478091196168
Task_10907,2323,709,21,159,180,3.271830985915493,46.198254132908
Task_10908,719,282,189,140,329,2.5406360424028267,20.29403310790815
Task_10909,2154,69,123,108,231,30.771428571428572,40.790186811259524
Task_10910,2467,432,108,159,267,5.697459584295612,48.182185247428585
Task_10911,2920,520,121,109,230,5.604606525911708,55.400064780414176
Task_10912,624,185,55,142,197,3.3548387096774195,17.87097908621963
Task_10913,748,445,84,13,97,1.6771300448430493,18.7881654808857
Task_10914,1853,735,128,38,166,2.5176630434782608,37.994988267052214
Task_10915,837,148,197,161,358,5.617449664429531,21.56720420277267
Task_10916,1521,925,13,86,99,1.642548596112311,33.27053502121023
Task_10917,2092,457,169,36,205,4.567685589519651,41.193304091024146
Task_10918,1441,156,135,65,200,9.178343949044587,29.932768863970328
Task_10919,2105,685,140,53,193,3.068513119533528,42.36300177601117
Task_10920,1257,203,111,155,266,6.161764705882353,28.266275564883383
Task_10921,1265,98,42,173,215,12.777777777777779,27.070352160429348
Task_10922,1511,1013,102,159,261,1.490138067061144,34.800681156279325
Task_10923,2094,953,144,70,214,2.1949685534591197,43.10893618496565
Task_10924,2156,876,109,150,259,2.458380843785633,44.61610375115464
Task_10925,575,833,108,60,168,0.6894484412470024,18.30697929128997
Task_10926,2019,866,75,182,257,2.328719723183391,42.588144527593776
Task_10927,2578,975,153,159,312,2.6413934426229506,51.86384774000768
Task_10928,2046,622,191,91,282,3.284109149277689,41.94808763640044
Task_10929,646,644,10,45,55,1.0015503875968992,17.4532965748718
Task_10930,879,566,142,24,166,1.5502645502645502,21.940815334058502
Task_10931,1964,346,157,135,292,5.659942363112392,40.0168092990643
Task_10932,2804,595,133,48,181,4.704697986577181,52.62695649874767
Task_10933,1897,300,63,54,117,6.3023255813953485,37.053773811664946
Task_10934,2792,548,124,52,176,5.0856102003642984,52.55580134519457
Task_10935,2189,694,67,120,187,3.149640287769784,44.28538813349271
Task_10936,1501,827,172,102,274,1.8128019323671498,34.08269888220091
Task_10937,556,143,114,142,256,3.861111111111111,16.631075048312486
Task_10938,1794,443,73,116,189,4.04054054054054,37.25198712429815
Task_10939,2085,296,41,86,127,7.02020202020202,40.588751837443574
Task_10940,504,793,37,198,235,0.6347607052896725,18.137725023335847
Task_10941,2151,569,16,45,61,3.7736842105263158,40.98935206074664
Task_10942,2054,453,95,25,120,4.524229074889868,39.84408077679249
Task_10943,757,897,74,55,129,0.8429844097995546,21.309620748810968
Task_10944,1623,612,20,177,197,2.6476345840130504,35.08694983785028
Task_10945,1586,808,156,168,324,1.9604449938195303,35.69237935347539
Task_10946,2599,360,113,92,205,7.199445983379501,49.5526292479749
Task_10947,751,877,35,50,85,0.8553530751708428,20.328082628061882
Task_10948,665,477,126,10,136,1.391213389121339,17.926726073674132
Task_10949,2777,927,197,55,252,2.992456896551724,54.01862694262855
Task_10950,2964,723,77,99,176,4.093922651933702,56.44370943392951
Task_10951,2034,681,28,176,204,2.9824046920821115,41.90406965202543
Task_10952,2488,495,88,196,284,5.016129032258065,48.87026138415907
Task_10953,1941,675,49,34,83,2.871301775147929,38.38792692461066
Task_10954,2977,621,66,101,167,4.786173633440514,56.26438736264376
Task_10955,1591,331,15,25,40,4.792168674698795,31.149078380377507
Task_10956,2886,911,140,57,197,3.164473684210526,55.37681630658577
Task_10957,2504,862,160,42,202,2.9015063731170336,48.974883023705196
Task_10958,1158,1004,157,99,256,1.1522388059701492,29.014175591334375
Task_10959,2178,968,33,34,67,2.2476780185758516,42.65042664882393
Task_10960,2429,492,17,61,78,4.926977687626775,45.394437393057245
Task_10961,746,288,100,161,261,2.5813148788927336,20.464443424681804
Task_10962,2455,297,14,11,25,8.238255033557047,44.46227272853556
Task_10963,2478,376,45,90,135,6.572944297082228,47.12171537078964
Task_10964,1090,382,60,85,145,2.845953002610966,25.27135066928601
Task_10965,2639,658,57,196,253,4.004552352048559,51.78210064814767
Task_10966,2289,628,121,130,251,3.639109697933227,45.87918041857073
Task_10967,2246,857,151,121,272,2.617715617715618,45.998892177648685
Task_10968,1261,440,120,61,181,2.8594104308390023,27.87271688730583
Task_10969,977,404,159,63,222,2.4123456790123456,23.7076043793829
Task_10970,2617,151,137,164,301,17.217105263157894,49.36743248281983
Task_10971,2196,220,161,123,284,9.936651583710407,43.188485640070375
Task_10972,2997,809,45,115,160,3.7,56.90950245185198
Task_10973,774,202,168,145,313,3.812807881773399,20.83563755011411
Task_10974,2020,957,13,50,63,2.1085594989561587,40.275868837237766
Task_10975,2169,298,87,83,170,7.254180602006689,41.99090885642865
Task_10976,1597,650,20,48,68,2.453149001536098,32.50819365042777
