TaskID,Instructions,Memory_MB,Input_MB,Output_MB
Task_7744,2493,374,51,199
Task_7745,1847,600,70,149
Task_7746,2777,972,67,76
Task_7747,2398,458,57,54
Task_7748,2802,266,50,122
Task_7749,1735,681,133,14
Task_7750,1039,708,61,108
Task_7751,1472,194,38,42
Task_7752,697,892,66,69
Task_7753,755,891,198,134
Task_7754,1232,583,196,88
Task_7755,662,662,111,127
Task_7756,812,637,103,126
Task_7757,1078,152,70,60
Task_7758,970,458,16,130
Task_7759,2694,948,92,161
Task_7760,1921,706,114,184
Task_7761,1338,656,69,81
Task_7762,2863,382,83,51
Task_7763,2369,968,190,172
Task_7764,2934,235,54,161
Task_7765,1525,714,128,157
Task_7766,842,218,79,86
Task_7767,731,911,22,112
Task_7768,1635,496,33,92
Task_7769,2583,978,122,35
Task_7770,2931,848,76,90
Task_7771,838,350,109,33
Task_7772,2553,935,53,41
Task_7773,1126,239,64,86
Task_7774,2331,898,87,191
Task_7775,1190,1010,186,167
Task_7776,1512,185,175,159
Task_7777,915,797,63,16
Task_7778,2672,265,71,11
Task_7779,1619,96,170,151
Task_7780,753,877,193,37
Task_7781,1523,427,119,77
Task_7782,1785,440,102,162
Task_7783,2645,676,132,10
Task_7784,2219,1006,185,27
Task_7785,838,942,22,34
Task_7786,2307,287,180,33
Task_7787,601,572,71,115
Task_7788,2820,804,138,121
Task_7789,1822,221,13,155
Task_7790,1032,749,192,160
Task_7791,2067,293,120,65
Task_7792,1806,527,110,57
Task_7793,2679,914,137,197
Task_7794,2766,821,74,96
Task_7795,2380,915,74,73
Task_7796,1593,1017,177,58
Task_7797,853,547,169,88
Task_7798,636,470,79,125
Task_7799,1765,333,68,40
Task_7800,2128,867,24,44
Task_7801,2490,253,200,84
Task_7802,1096,782,128,51
Task_7803,1384,854,185,135
Task_7804,2634,121,119,150
Task_7805,2819,852,83,191
Task_7806,582,654,80,77
Task_7807,2813,991,193,14
Task_7808,862,629,77,71
Task_7809,1557,604,34,120
Task_7810,2059,394,148,187
Task_7811,755,877,165,80
Task_7812,1179,229,183,117
Task_7813,1305,239,166,195
Task_7814,913,279,196,50
Task_7815,2503,1006,75,98
Task_7816,1573,346,75,120
Task_7817,548,997,111,36
Task_7818,926,757,111,179
Task_7819,1472,403,97,193
Task_7820,960,664,111,190
Task_7821,1690,976,53,124
Task_7822,2302,390,109,46
Task_7823,782,410,66,200
Task_7824,1856,137,158,128
Task_7825,790,287,63,26
Task_7826,2457,700,90,50
Task_7827,1745,924,183,17
Task_7828,2288,428,111,182
Task_7829,1906,94,196,62
Task_7830,1568,702,134,102
Task_7831,710,484,198,165
Task_7832,2030,135,85,106
Task_7833,2676,766,45,81
Task_7834,1075,609,17,43
Task_7835,1649,371,49,182
Task_7836,1997,905,89,86
Task_7837,1612,614,113,59
Task_7838,2138,400,124,155
Task_7839,2911,536,96,163
Task_7840,1926,604,189,56
Task_7841,1189,557,66,74
Task_7842,2236,342,59,82
Task_7843,522,736,137,108
Task_7844,2672,190,83,11
Task_7845,2216,131,150,144
Task_7846,1937,956,52,130
Task_7847,1521,171,137,41
Task_7848,708,354,142,116
Task_7849,1071,649,90,67
Task_7850,2483,862,105,105
Task_7851,2110,385,191,149
Task_7852,1214,419,14,48
Task_7853,2793,566,98,110
Task_7854,1239,641,102,41
Task_7855,1672,83,36,86
Task_7856,2290,915,58,135
Task_7857,1613,600,40,60
Task_7858,687,647,186,86
Task_7859,2460,176,14,21
Task_7860,1714,636,26,163
Task_7861,1886,625,136,166
Task_7862,2939,200,156,159
Task_7863,934,1024,69,43
Task_7864,1290,469,86,174
Task_7865,1071,923,85,184
Task_7866,504,524,36,33
Task_7867,592,834,144,79
Task_7868,2643,849,137,124
Task_7869,2659,76,120,74
Task_7870,2782,425,46,54
Task_7871,2299,187,76,151
Task_7872,2083,816,174,15
Task_7873,718,503,170,192
Task_7874,1487,174,142,154
Task_7875,1897,875,181,102
Task_7876,856,262,139,33
Task_7877,1467,884,174,131
Task_7878,2019,264,36,79
Task_7879,1149,220,62,46
Task_7880,893,188,126,49
Task_7881,1026,526,14,54
Task_7882,1424,718,128,122
Task_7883,1797,923,124,160
Task_7884,2419,301,45,90
Task_7885,2274,944,75,14
Task_7886,2525,130,42,176
Task_7887,1237,652,47,105
Task_7888,970,698,80,48
Task_7889,2460,509,109,80
Task_7890,2342,522,119,160
Task_7891,2169,754,81,70
Task_7892,2747,102,20,76
Task_7893,1965,686,70,85
Task_7894,1841,561,69,66
Task_7895,2164,841,86,171
Task_7896,814,575,100,163
Task_7897,921,733,174,197
Task_7898,2715,818,191,124
Task_7899,514,187,86,180
Task_7900,1064,850,47,62
Task_7901,1531,522,137,200
Task_7902,656,268,99,91
Task_7903,862,701,178,169
Task_7904,2993,931,124,67
Task_7905,2817,944,105,133
Task_7906,862,596,46,115
Task_7907,1883,229,70,175
Task_7908,1673,664,164,41
Task_7909,643,958,161,33
Task_7910,2744,360,135,131
Task_7911,2095,350,26,157
Task_7912,995,713,141,74
Task_7913,2240,220,128,26
Task_7914,2039,720,172,167
Task_7915,1046,952,42,116
Task_7916,2041,614,184,53
Task_7917,581,446,99,135
Task_7918,2338,762,27,24
Task_7919,2937,585,112,85
Task_7920,1676,123,182,65
Task_7921,2803,482,74,32
Task_7922,1708,951,112,98
Task_7923,2439,178,105,32
Task_7924,2715,342,40,154
Task_7925,576,966,97,12
Task_7926,1431,987,136,194
Task_7927,1280,621,109,77
Task_7928,753,914,158,182
Task_7929,1584,320,107,193
Task_7930,2519,584,192,62
Task_7931,2839,256,183,134
Task_7932,1531,908,51,46
Task_7933,2504,403,159,113
Task_7934,2044,524,114,164
Task_7935,826,766,123,44
Task_7936,1379,360,54,159
Task_7937,2701,431,102,53
Task_7938,2463,376,87,72
Task_7939,1805,273,81,68
Task_7940,2164,67,104,57
Task_7941,1467,191,189,166
Task_7942,913,915,181,103
Task_7943,2603,230,36,23
Task_7944,765,536,88,114
Task_7945,536,593,184,62
Task_7946,1734,457,116,195
Task_7947,2384,195,191,196
Task_7948,1976,220,138,175
Task_7949,2255,698,185,49
Task_7950,1630,176,169,156
Task_7951,2958,130,38,155
Task_7952,2397,152,78,174
Task_7953,2557,563,64,15
Task_7954,768,909,164,94
Task_7955,2043,814,98,151
Task_7956,1688,946,18,128
Task_7957,1687,91,118,148
Task_7958,1716,719,130,85
Task_7959,587,511,97,151
Task_7960,1284,263,33,24
Task_7961,1791,900,40,175
Task_7962,1985,582,133,12
Task_7963,1382,240,32,133
Task_7964,1872,962,109,154
Task_7965,1829,105,131,156
Task_7966,2148,533,16,20
Task_7967,2538,111,124,74
Task_7968,2310,387,184,104
Task_7969,1422,705,67,101
Task_7970,2716,282,57,89
Task_7971,581,75,73,134
Task_7972,1247,234,185,138
Task_7973,1592,981,124,142
Task_7974,1814,646,125,163
Task_7975,1733,705,173,182
Task_7976,1622,262,45,191
Task_7977,1512,371,115,11
Task_7978,1811,243,86,175
Task_7979,1122,614,17,131
Task_7980,1810,586,155,83
Task_7981,1706,700,79,121
Task_7982,1921,116,117,77
Task_7983,1004,796,40,61
Task_7984,1097,565,94,90
Task_7985,2852,762,169,17
Task_7986,2471,376,116,170
Task_7987,2742,917,117,29
Task_7988,758,745,150,131
Task_7989,576,191,170,84
Task_7990,2835,362,157,100
Task_7991,1104,564,68,142
Task_7992,878,943,128,61
Task_7993,2948,997,111,38
Task_7994,1231,397,141,168
Task_7995,650,781,189,198
Task_7996,1757,450,174,10
Task_7997,1022,513,19,70
Task_7998,867,338,85,52
Task_7999,2751,479,57,98
Task_8000,2475,727,142,124
Task_8001,1639,408,48,159
Task_8002,663,981,176,145
Task_8003,510,312,100,66
Task_8004,504,72,76,26
Task_8005,2878,988,41,38
Task_8006,2504,985,195,87
Task_8007,2659,658,154,125
Task_8008,2422,182,165,105
Task_8009,1316,537,94,182
Task_8010,764,572,22,122
Task_8011,1154,388,73,74
Task_8012,2111,213,95,77
Task_8013,1502,679,186,145
Task_8014,1069,161,122,99
Task_8015,1075,343,164,136
Task_8016,1514,746,175,66
Task_8017,1817,476,124,101
Task_8018,1519,586,85,194
Task_8019,2564,358,55,13
Task_8020,2812,935,117,154
Task_8021,2132,985,84,166
Task_8022,838,371,142,75
Task_8023,839,206,133,113
Task_8024,2107,944,114,170
Task_8025,2404,464,172,189
Task_8026,1686,187,79,152
Task_8027,1615,722,46,14
Task_8028,977,910,67,153
Task_8029,2644,252,173,128
Task_8030,1091,136,51,166
Task_8031,2907,458,29,26
Task_8032,977,158,88,76
Task_8033,899,110,143,112
Task_8034,1243,520,186,60
Task_8035,547,74,176,197
Task_8036,2454,850,80,55
Task_8037,2176,669,114,83
Task_8038,2599,354,183,32
Task_8039,920,228,104,107
Task_8040,2757,685,85,186
Task_8041,2443,764,125,65
Task_8042,2541,230,104,93
Task_8043,717,921,83,182
Task_8044,2714,496,93,71
Task_8045,642,983,101,11
Task_8046,1557,656,46,116
Task_8047,2251,325,27,79
Task_8048,1431,893,87,88
Task_8049,2871,105,79,18
Task_8050,2651,382,149,125
Task_8051,1590,894,182,92
Task_8052,820,478,136,48
Task_8053,1612,216,73,15
Task_8054,972,506,182,180
Task_8055,573,873,173,128
Task_8056,2397,862,88,89
Task_8057,1731,491,109,20
Task_8058,1891,340,110,71
Task_8059,2487,372,158,175
Task_8060,2722,201,58,166
Task_8061,1079,608,61,151
Task_8062,1967,479,75,37
Task_8063,2416,511,121,33
Task_8064,2598,189,135,171
Task_8065,2431,990,159,53
Task_8066,1059,765,187,80
Task_8067,2089,137,97,141
Task_8068,1338,261,36,125
Task_8069,2106,785,121,171
Task_8070,2540,339,84,131
Task_8071,2730,280,43,88
Task_8072,1221,963,63,143
Task_8073,1996,173,21,42
Task_8074,2339,342,165,197
Task_8075,694,498,19,127
Task_8076,989,101,34,170
Task_8077,2845,541,25,69
Task_8078,1270,182,111,118
Task_8079,1965,706,84,79
Task_8080,957,830,139,32
Task_8081,2989,260,48,170
Task_8082,1414,100,12,134
Task_8083,2728,585,101,197
Task_8084,1123,144,108,170
Task_8085,2945,929,135,198
Task_8086,953,989,62,136
Task_8087,2142,734,135,195
Task_8088,2330,512,66,45
Task_8089,2516,629,110,181
Task_8090,767,722,150,103
Task_8091,2006,239,135,104
Task_8092,1870,809,43,175
Task_8093,823,94,145,135
Task_8094,2187,603,75,126
Task_8095,1933,320,188,101
Task_8096,1096,238,26,50
Task_8097,906,627,28,165
Task_8098,1675,238,10,127
Task_8099,2256,88,198,29
Task_8100,1405,944,30,139
Task_8101,1840,539,80,165
Task_8102,1893,874,104,79
Task_8103,741,505,117,99
Task_8104,1201,758,174,121
Task_8105,2485,815,180,86
Task_8106,2375,937,80,106
Task_8107,2881,863,97,144
Task_8108,2637,986,29,30
Task_8109,2322,349,104,148
Task_8110,1782,987,55,184
Task_8111,1789,676,119,123
Task_8112,812,848,129,42
Task_8113,992,869,183,165
Task_8114,2455,807,36,108
Task_8115,2503,365,129,79
Task_8116,1697,250,183,164
Task_8117,1992,374,127,163
Task_8118,1759,832,192,128
Task_8119,1712,466,25,156
Task_8120,1415,411,181,110
Task_8121,2134,81,67,190
Task_8122,907,869,83,107
Task_8123,2723,773,128,138
Task_8124,761,607,125,92
Task_8125,2254,867,79,106
Task_8126,775,120,156,185
Task_8127,1647,720,131,125
Task_8128,2473,396,41,54
Task_8129,744,113,56,22
Task_8130,2894,556,59,51
Task_8131,2166,102,166,71
Task_8132,2691,225,76,189
Task_8133,2883,1010,69,67
Task_8134,2615,544,175,57
Task_8135,2335,225,168,95
Task_8136,1648,345,61,199
Task_8137,2596,797,98,113
Task_8138,2681,986,89,79
Task_8139,772,667,134,57
Task_8140,2461,534,37,171
Task_8141,2065,648,189,120
Task_8142,1629,378,73,35
Task_8143,723,581,174,55
Task_8144,607,565,159,180
Task_8145,834,764,84,17
Task_8146,2799,332,133,24
Task_8147,1828,1011,97,140
Task_8148,2946,702,191,189
Task_8149,2344,802,25,15
Task_8150,896,552,129,154
Task_8151,573,335,177,142
Task_8152,1376,910,162,153
Task_8153,2030,440,79,89
Task_8154,1843,613,43,190
Task_8155,1770,403,58,168
Task_8156,2486,626,151,43
Task_8157,2420,842,12,32
Task_8158,2857,73,153,39
Task_8159,2059,239,171,105
Task_8160,767,287,126,23
Task_8161,1870,275,78,36
Task_8162,1026,816,61,147
Task_8163,2729,202,72,86
Task_8164,1790,452,21,163
Task_8165,2353,995,142,168
Task_8166,2344,522,28,158
Task_8167,2901,702,69,64
Task_8168,2874,626,67,154
Task_8169,2980,221,188,84
Task_8170,1871,151,126,91
Task_8171,2842,924,144,43
Task_8172,2654,244,102,49
Task_8173,2127,509,27,72
Task_8174,2099,152,56,187
Task_8175,967,69,32,118
Task_8176,2126,463,172,187
Task_8177,2369,247,31,139
Task_8178,2623,888,11,156
Task_8179,1798,435,26,158
Task_8180,986,178,136,103
Task_8181,1097,243,38,83
Task_8182,700,224,94,113
Task_8183,905,309,23,44
Task_8184,1923,254,76,85
Task_8185,1003,570,177,85
Task_8186,842,497,87,45
Task_8187,1656,994,98,142
Task_8188,1654,985,80,37
Task_8189,821,853,64,109
Task_8190,2947,410,120,33
Task_8191,2259,554,144,46
Task_8192,1327,819,136,188
Task_8193,512,887,36,38
Task_8194,2194,351,77,93
Task_8195,2916,810,110,166
Task_8196,2651,70,38,188
Task_8197,1268,656,150,17
Task_8198,2671,280,28,163
Task_8199,1609,774,58,180
Task_8200,2313,391,200,88
Task_8201,2029,711,76,12
Task_8202,2930,319,117,100
Task_8203,823,964,89,66
Task_8204,1073,321,173,13
Task_8205,2899,787,163,90
Task_8206,508,820,50,104
Task_8207,1198,342,88,124
Task_8208,2602,217,62,198
Task_8209,2140,312,103,82
Task_8210,1051,941,73,112
Task_8211,1956,262,104,20
Task_8212,917,275,178,70
Task_8213,2131,793,142,169
Task_8214,1599,705,99,99
Task_8215,1571,766,162,23
Task_8216,1545,229,64,193
Task_8217,984,201,100,193
Task_8218,1177,1009,86,21
Task_8219,1041,866,163,91
Task_8220,2692,770,93,18
Task_8221,2690,611,160,187
Task_8222,732,609,192,156
Task_8223,716,901,109,154
Task_8224,1597,322,181,51
Task_8225,2480,731,89,151
Task_8226,591,855,110,18
Task_8227,543,724,24,149
Task_8228,2351,813,119,90
Task_8229,2820,193,79,77
Task_8230,2432,247,69,84
Task_8231,2208,868,183,108
Task_8232,2825,626,12,19
Task_8233,1661,355,65,71
Task_8234,1492,297,164,146
Task_8235,2995,953,96,112
Task_8236,2026,731,125,38
Task_8237,895,66,177,81
Task_8238,982,732,146,71
Task_8239,2368,967,41,99
Task_8240,503,814,133,55
Task_8241,1660,993,12,146
Task_8242,1927,536,184,182
Task_8243,1087,287,147,37
Task_8244,2611,479,199,67
Task_8245,1896,988,135,33
Task_8246,2904,565,197,14
Task_8247,1394,477,23,30
Task_8248,781,165,172,71
Task_8249,2826,789,122,73
Task_8250,2917,114,118,35
Task_8251,512,729,91,32
Task_8252,614,529,94,36
Task_8253,2268,477,123,137
Task_8254,1853,92,119,133
Task_8255,1050,805,194,156
Task_8256,1891,995,75,59
Task_8257,1439,496,32,118
Task_8258,1776,64,89,12
Task_8259,556,178,76,111
Task_8260,1872,421,193,168
Task_8261,657,499,170,29
Task_8262,986,138,139,59
Task_8263,1292,185,171,107
Task_8264,954,283,111,192
Task_8265,597,499,151,133
Task_8266,1625,394,52,170
Task_8267,2457,629,129,170
Task_8268,2054,970,49,99
Task_8269,2035,496,163,66
Task_8270,2743,872,92,50
Task_8271,963,684,69,173
Task_8272,1319,747,14,125
Task_8273,699,364,106,198
Task_8274,2091,959,134,85
Task_8275,3000,996,66,186
Task_8276,1486,925,185,172
Task_8277,2687,195,81,16
Task_8278,1087,937,138,85
Task_8279,2440,997,32,103
Task_8280,509,448,130,139
Task_8281,2066,888,27,175
Task_8282,1197,393,177,161
Task_8283,878,655,194,195
Task_8284,1802,760,114,22
Task_8285,1091,350,103,64
Task_8286,1178,133,146,148
Task_8287,2820,308,172,50
Task_8288,1187,988,93,48
Task_8289,2198,652,13,187
Task_8290,947,821,196,118
Task_8291,815,103,128,197
Task_8292,1895,537,149,29
Task_8293,2169,981,155,134
Task_8294,1493,273,177,78
Task_8295,1589,552,75,100
Task_8296,2727,536,196,116
Task_8297,2652,950,167,25
Task_8298,1608,959,116,142
Task_8299,2915,374,53,112
Task_8300,705,158,144,106
Task_8301,2419,864,178,186
Task_8302,880,996,159,197
Task_8303,2306,253,25,189
Task_8304,832,809,176,172
Task_8305,551,159,167,93
Task_8306,2171,557,182,15
Task_8307,2290,324,47,135
Task_8308,1799,619,108,49
Task_8309,932,974,156,63
Task_8310,566,110,19,37
Task_8311,790,960,23,95
Task_8312,2724,632,11,70
Task_8313,2229,1016,148,26
Task_8314,2009,430,28,196
Task_8315,1437,247,107,60
Task_8316,2294,988,25,100
Task_8317,1275,801,53,163
Task_8318,1090,101,172,127
Task_8319,2302,355,196,189
Task_8320,2894,205,141,65
Task_8321,1488,553,148,66
Task_8322,1229,913,104,175
Task_8323,2863,803,130,54
Task_8324,1070,172,74,119
Task_8325,1765,1014,180,114
Task_8326,1695,493,93,92
Task_8327,2737,84,130,62
Task_8328,1930,760,57,170
Task_8329,2499,417,140,38
Task_8330,2217,236,70,130
Task_8331,1957,589,129,181
Task_8332,1323,439,89,21
Task_8333,1618,660,167,29
Task_8334,2140,526,99,93
Task_8335,1327,218,169,144
Task_8336,901,122,28,175
Task_8337,2331,440,161,95
Task_8338,2360,866,79,152
Task_8339,2645,764,107,96
Task_8340,2416,1002,41,150
Task_8341,2970,280,198,155
Task_8342,1983,343,11,95
Task_8343,2339,100,31,188
Task_8344,1318,816,88,72
Task_8345,597,731,127,121
Task_8346,2983,190,85,142
Task_8347,765,254,140,178
Task_8348,1060,340,91,156
Task_8349,1288,1005,136,107
Task_8350,2270,868,46,57
Task_8351,770,134,136,184
Task_8352,643,936,87,35
Task_8353,1245,586,25,43
Task_8354,1952,749,193,126
Task_8355,2713,852,109,43
Task_8356,1800,975,183,154
Task_8357,1659,489,170,66
Task_8358,2200,362,17,169
Task_8359,2070,349,107,63
Task_8360,883,117,178,45
Task_8361,1468,528,75,136
Task_8362,2497,591,99,68
Task_8363,1842,266,195,125
Task_8364,1826,348,92,82
Task_8365,945,306,88,71
Task_8366,704,989,70,95
Task_8367,840,549,150,92
Task_8368,2751,183,44,66
Task_8369,2741,735,89,55
Task_8370,692,348,60,100
Task_8371,2612,785,105,101
Task_8372,2599,541,111,113
Task_8373,828,953,38,140
Task_8374,2983,541,69,54
Task_8375,1057,859,27,195
Task_8376,2867,78,143,13
Task_8377,1487,676,142,102
Task_8378,1656,473,58,132
Task_8379,2499,288,130,77
Task_8380,785,305,197,127
Task_8381,1738,136,164,196
Task_8382,1971,304,151,121
Task_8383,2783,184,189,75
Task_8384,1565,519,143,164
Task_8385,1893,209,82,160
Task_8386,1933,563,95,145
Task_8387,1643,726,128,180
Task_8388,1024,656,27,41
Task_8389,2646,244,31,191
Task_8390,2267,536,108,89
Task_8391,2902,612,174,62
Task_8392,1233,640,129,98
Task_8393,819,874,95,132
Task_8394,559,810,124,141
Task_8395,2778,946,159,133
Task_8396,2987,559,86,79
Task_8397,1746,577,98,92
Task_8398,1473,292,167,55
Task_8399,2337,1024,120,78
Task_8400,2736,471,53,149
Task_8401,2363,472,171,45
Task_8402,1334,141,176,172
Task_8403,1381,984,62,161
Task_8404,2784,745,72,181
Task_8405,514,89,76,55
Task_8406,1500,507,21,46
Task_8407,2288,876,63,91
Task_8408,2400,1000,44,51
Task_8409,2045,180,183,54
Task_8410,1272,652,147,174
Task_8411,1106,325,110,112
Task_8412,1152,661,187,82
Task_8413,1149,213,64,130
Task_8414,2306,312,51,40
Task_8415,1955,861,30,141
Task_8416,2071,460,28,81
Task_8417,619,360,200,160
Task_8418,2751,778,97,30
Task_8419,1956,744,110,143
Task_8420,998,547,164,43
Task_8421,2382,539,73,70
Task_8422,577,669,158,31
Task_8423,2798,569,10,141
Task_8424,2220,705,98,25
Task_8425,2523,782,17,114
Task_8426,1843,944,37,68
Task_8427,1197,326,44,76
Task_8428,1716,83,32,41
Task_8429,1172,160,193,152
Task_8430,840,75,120,54
Task_8431,1758,284,165,107
Task_8432,641,940,66,27
Task_8433,1439,169,188,15
Task_8434,2858,1001,67,10
Task_8435,2066,252,151,35
Task_8436,2866,766,132,26
Task_8437,2787,373,102,23
Task_8438,1540,823,193,95
Task_8439,1019,736,117,67
Task_8440,1697,575,154,116
Task_8441,510,856,67,106
Task_8442,1550,423,74,33
Task_8443,2687,619,120,128
Task_8444,2119,526,195,185
Task_8445,1751,238,15,30
Task_8446,1027,245,133,53
Task_8447,1749,106,160,183
Task_8448,1136,652,158,167
Task_8449,2157,164,104,37
Task_8450,2039,866,24,110
Task_8451,2769,695,42,161
Task_8452,2575,839,17,91
Task_8453,1173,895,177,182
Task_8454,1022,999,128,40
Task_8455,1863,897,43,63
Task_8456,1474,672,199,46
Task_8457,2538,77,87,91
Task_8458,2416,799,10,126
Task_8459,546,600,43,149
Task_8460,1843,520,179,169
Task_8461,2971,94,45,46
Task_8462,2483,137,118,36
Task_8463,2778,324,180,181
Task_8464,2956,348,99,45
Task_8465,647,1016,22,51
Task_8466,1525,672,67,120
Task_8467,2488,430,161,181
Task_8468,2977,736,194,120
Task_8469,1440,855,123,68
Task_8470,1451,110,94,105
Task_8471,2669,86,115,119
Task_8472,2557,285,192,31
Task_8473,2017,570,49,162
Task_8474,1967,379,145,73
Task_8475,730,689,31,61
Task_8476,2206,429,28,190
Task_8477,2747,580,91,187
Task_8478,2305,845,59,200
Task_8479,1247,878,58,183
Task_8480,1076,158,126,105
Task_8481,2073,412,116,146
Task_8482,1763,403,73,28
Task_8483,802,70,122,193
Task_8484,990,725,152,184
Task_8485,2752,331,45,122
Task_8486,985,784,199,82
Task_8487,1023,644,95,150
Task_8488,788,735,160,89
Task_8489,1610,481,23,118
Task_8490,2238,345,113,22
Task_8491,2068,570,177,19
Task_8492,2396,122,17,44
Task_8493,755,472,45,111
Task_8494,639,780,15,58
Task_8495,2583,904,15,12
Task_8496,1147,516,151,43
Task_8497,1883,350,188,61
Task_8498,2069,225,10,193
Task_8499,955,771,72,28
Task_8500,1771,799,98,30
Task_8501,1590,482,124,195
Task_8502,2219,301,84,90
Task_8503,1362,636,68,146
Task_8504,2583,530,107,161
Task_8505,1855,457,76,196
Task_8506,2541,332,95,125
Task_8507,1917,729,109,195
Task_8508,1767,104,136,124
Task_8509,1111,914,38,26
Task_8510,2513,912,48,156
Task_8511,938,699,172,101
Task_8512,838,936,193,187
Task_8513,2545,155,35,19
Task_8514,1494,334,161,176
Task_8515,1149,743,182,41
Task_8516,1633,628,185,120
Task_8517,2558,195,84,108
Task_8518,2123,475,181,161
Task_8519,2804,502,69,67
Task_8520,1899,1019,198,103
Task_8521,1027,392,44,75
Task_8522,957,293,175,71
Task_8523,568,886,35,66
Task_8524,877,928,93,103
Task_8525,1297,564,20,25
Task_8526,887,705,95,40
Task_8527,2662,944,119,141
Task_8528,2453,170,152,102
Task_8529,1546,690,152,57
Task_8530,974,837,135,49
Task_8531,2047,618,129,183
Task_8532,2203,561,179,109
Task_8533,2945,780,145,92
Task_8534,740,483,163,57
Task_8535,723,140,28,33
Task_8536,965,457,152,50
Task_8537,1263,278,180,86
Task_8538,2115,857,25,98
Task_8539,1887,704,38,103
Task_8540,1281,344,165,52
Task_8541,2356,439,144,126
Task_8542,1003,499,163,79
Task_8543,1001,265,66,148
Task_8544,1772,133,106,162
Task_8545,637,188,184,172
Task_8546,1698,610,76,78
Task_8547,565,892,169,151
Task_8548,840,800,141,153
Task_8549,1018,74,157,95
Task_8550,1138,795,73,19
Task_8551,2109,893,19,172
Task_8552,2267,969,197,109
Task_8553,923,766,130,15
Task_8554,1181,420,85,134
Task_8555,2716,966,85,46
Task_8556,1563,531,16,41
Task_8557,2802,850,85,177
Task_8558,928,895,65,171
Task_8559,2074,249,60,155
Task_8560,657,161,92,17
Task_8561,1318,885,63,45
Task_8562,2258,894,105,14
Task_8563,2386,806,119,77
Task_8564,2304,673,40,71
Task_8565,595,689,31,148
Task_8566,600,409,173,42
Task_8567,2139,145,87,143
Task_8568,1764,877,98,26
Task_8569,711,787,166,89
Task_8570,1635,653,87,96
Task_8571,1026,472,39,116
Task_8572,2132,421,96,109
Task_8573,1321,400,39,11
Task_8574,897,464,76,70
Task_8575,2077,627,29,47
Task_8576,909,111,163,102
Task_8577,1589,553,99,47
Task_8578,2018,492,167,77
Task_8579,743,942,16,117
Task_8580,1666,75,190,70
Task_8581,1835,412,36,184
Task_8582,576,803,192,61
Task_8583,2015,649,176,94
Task_8584,868,356,98,11
Task_8585,1045,435,59,129
Task_8586,1764,146,13,25
Task_8587,2813,979,121,27
Task_8588,1261,709,172,78
Task_8589,689,1008,54,181
Task_8590,1368,599,158,27
Task_8591,743,317,42,193
Task_8592,1869,620,199,145
Task_8593,1441,822,158,79
Task_8594,753,88,178,42
Task_8595,1434,791,44,71
Task_8596,974,525,194,34
Task_8597,796,258,136,41
Task_8598,2867,480,120,127
Task_8599,554,454,88,112
Task_8600,2182,624,182,149
Task_8601,674,485,145,183
Task_8602,2432,161,198,114
Task_8603,2750,864,18,95
Task_8604,2381,744,98,113
Task_8605,2956,1007,123,180
Task_8606,2356,482,81,98
Task_8607,1061,479,93,81
Task_8608,1762,793,141,113
Task_8609,2097,174,128,185
Task_8610,2044,193,139,159
Task_8611,1603,529,165,189
Task_8612,2174,821,75,98
Task_8613,2757,663,82,155
Task_8614,2089,439,188,73
Task_8615,2030,920,18,133
Task_8616,1462,1023,175,194
Task_8617,1544,815,117,144
Task_8618,1082,704,116,109
Task_8619,1078,96,148,12
Task_8620,2611,1005,58,37
Task_8621,875,673,145,55
Task_8622,1498,410,193,92
Task_8623,2729,724,160,86
Task_8624,2811,407,179,60
Task_8625,1507,428,118,131
Task_8626,2891,790,84,49
Task_8627,2261,582,117,145
Task_8628,1260,203,53,15
Task_8629,1744,68,162,30
Task_8630,1857,78,119,131
Task_8631,2752,469,55,39
Task_8632,856,1020,108,107
Task_8633,2421,595,119,112
Task_8634,1999,322,63,74
Task_8635,1774,970,49,113
Task_8636,2559,227,176,24
Task_8637,590,160,21,168
Task_8638,874,259,33,153
Task_8639,1874,653,33,31
Task_8640,2582,79,61,32
Task_8641,1090,556,115,85
Task_8642,2112,860,96,102
Task_8643,2062,651,120,171
Task_8644,1206,171,33,151
Task_8645,1369,1005,51,150
Task_8646,2234,349,146,173
Task_8647,1399,327,195,83
Task_8648,877,194,115,123
Task_8649,1250,685,125,167
Task_8650,2820,694,142,12
Task_8651,1930,774,188,30
Task_8652,2356,579,27,165
Task_8653,557,620,79,100
Task_8654,2579,224,181,136
Task_8655,2010,93,117,76
Task_8656,1592,193,52,177
Task_8657,1230,104,126,99
Task_8658,2474,720,76,177
Task_8659,2329,805,142,151
Task_8660,1127,314,55,194
Task_8661,1856,708,125,95
Task_8662,928,644,35,51
Task_8663,623,755,95,173
Task_8664,1134,472,53,197
Task_8665,1285,164,29,197
Task_8666,2283,424,31,113
Task_8667,2413,451,132,99
Task_8668,1444,330,171,42
Task_8669,1732,565,55,40
Task_8670,544,318,11,96
Task_8671,1253,450,56,51
Task_8672,2156,556,132,146
Task_8673,516,241,142,88
Task_8674,1571,185,148,52
Task_8675,826,954,37,148
Task_8676,1680,576,167,122
Task_8677,869,696,127,63
Task_8678,738,378,28,183
Task_8679,2370,631,103,54
Task_8680,2301,496,146,32
Task_8681,950,682,68,104
Task_8682,1750,772,179,86
Task_8683,2263,119,41,27
Task_8684,2123,385,104,67
Task_8685,1492,858,13,164
Task_8686,1113,931,56,169
